"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","1000000000.00000000","56.212,1","03/28/2021","56.216,8","0,01%","Rp68.055.999.884.223,72"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","500000000.00000000","816.987.000","03/28/2021","815.013.000","0,24%","Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","100000000.00000000","818.100.000","03/28/2021","815.013.000","0,38%","Rp100.000.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","300000000.00000000","56.188,8","03/28/2021","56.197,7","0,02%","Rp38.661.599.999.975,38"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","50000000.00000000","56.139,1","03/28/2021","56.139,9","0,00%","Rp579.200.000.002,11"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","250000000.00000000","56.208,5","03/28/2021","56.185,6","-0,04%","-Rp82.898.000.115.846,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","1000000000.00000000","817.000.000","03/28/2021","818.100.000","-0,13%","-Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","100000000.00000000","818.770.000","03/28/2021","818.100.000","0,08%","Rp66.999.999.884.660,00"
"","BTC/EUR","BTC/EUR","Binance","03/28/2021","Jual","100000000.00000000","47.684,5","03/28/2021","47.696,8","-0,03%","-Rp20.877.405.014.397,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/28/2021","Beli","1000000000.00000000","817.059.014","03/28/2021","817.056.397","-0,00%","-Rp2.617.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","100000000.00000000","818.230.000","03/28/2021","820.355.000","-0,26%","-Rp100.000.000.000.000,00"
"","BTC/RUB","BTC/RUB","Exmo","03/28/2021","Jual","1000000000.00000000","4.141.727","03/28/2021","4.141.730","-0,00%","-Rp572.700.000.000,00"
"","BTC/SAR","BTC/SAR","Synthetic","03/28/2021","Jual","100000000.00000000","210.929,4","03/28/2021","210.847,5","0,04%","Rp31.620.934.799.997,68"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","1000000000.00000000","56.233,8","03/28/2021","56.259,1","0,04%","Rp366.343.999.999.942,06"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/28/2021","Jual","100000000.00000000","814.558.717","03/28/2021","812.538.750","0,25%","Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","40000000.00000000","816.999.000","03/28/2021","817.000.000","-0,00%","-Rp40.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","10000000.00000000","816.999.000","03/28/2021","817.000.000","-0,00%","-Rp10.000.000.000,00"
